BilledCost,BillingAccountId,BillingAccountName,BillingAccountType,BillingCurrency,BillingPeriodEnd,BillingPeriodStart,ChargeCategory,ChargeClass,ChargeDescription,ChargeFrequency,ChargePeriodEnd,ChargePeriodStart,CommitmentDiscountCategory,CommitmentDiscountId,CommitmentDiscountName,CommitmentDiscountStatus,CommitmentDiscountType,ConsumedQuantity,ConsumedUnit,ContractedCost,ContractedUnitPrice,EffectiveCost,InvoiceIssuerName,ListCost,ListUnitPrice,PricingCategory,PricingQuantity,PricingUnit,ProviderName,PublisherName,RegionId,RegionName,ResourceId,ResourceName,ResourceType,ServiceCategory,ServiceName,SkuId,SkuPriceId,SubAccountId,SubAccountName,SubAccountType,Tags,x_AccountId,x_AccountName,x_AccountOwnerId,x_BilledCostInUsd,x_BilledUnitPrice,x_BillingAccountId,x_BillingAccountName,x_BillingExchangeRate,x_BillingExchangeRateDate,x_BillingProfileId,x_BillingProfileName,x_ContractedCostInUsd,x_CostAllocationRuleName,x_CostCenter,x_CustomerId,x_CustomerName,x_EffectiveCostInUsd,x_EffectiveUnitPrice,x_InvoiceId,x_InvoiceIssuerId,x_InvoiceSectionId,x_InvoiceSectionName,x_ListCostInUsd,x_PartnerCreditApplied,x_PartnerCreditRate,x_PricingBlockSize,x_PricingCurrency,x_PricingSubcategory,x_PricingUnitDescription,x_PublisherCategory,x_PublisherId,x_ResellerId,x_ResellerName,x_ResourceGroupName,x_ResourceType,x_ServicePeriodEnd,x_ServicePeriodStart,x_SkuDescription,x_SkuDetails,x_SkuIsCreditEligible,x_SkuMeterCategory,x_SkuMeterId,x_SkuMeterName,x_SkuMeterSubcategory,x_SkuOfferId,x_SkuOrderId,x_SkuOrderName,x_SkuPartNumber,x_SkuRegion,x_SkuServiceFamily,x_SkuTerm,x_SkuTier
-0.000000216,/providers/Microsoft.Billing/billingAccounts/8611537,Trey Research Demo (DO NOT USE),Billing Account,USD,2024-07-01T00:00Z,2024-06-01T00:00Z,Usage,,Tables - Read Operations,Usage-Based,2024-06-13T00:00Z,2024-06-12T00:00Z,,,,,,-0.00060000,Units,-0.0000000000216,0.00036,-0.000000216,Microsoft,-0.000000216,0.00036,Standard,-0.00000006,Units,Microsoft,Microsoft,eastus,East US,/subscriptions/64e355d7-997c-491d-b0c1-8414dccfcf42/resourcegroups/ftk-integration-tests/providers/microsoft.storage/storageaccounts/7349d24c43a24dd8916cf1ef,7349d24c43a24dd8916cf1ef,Storage account,Storage,Storage Accounts,1012339,1012339,/subscriptions/64e355d7-997c-491d-b0c1-8414dccfcf42,Trey Research R&D Playground,Subscription,"{""CostCenter"": ""1234"",""CostAllocationTest"": ""Sameer"",""env"": ""prod"",""org"": ""trey"",""Project"": ""Foo""}",196312,ACM Team,acm@testea.onmicrosoft.com,,0.00036,8611537,Trey Research Demo (DO NOT USE),1,2024-06-01T00:00Z,8611537,Trey Research Demo (DO NOT USE),,SameerRuleWithTag,ACM9000,,,,0.00036,,,144867,ACM,,,,10000,USD,Standard,10K,Cloud Provider,Microsoft,,,ftk-integration-tests,Microsoft.Storage/storageAccounts,,,Tables - Read Operations,,True,Storage,12da282f-7e96-49e2-983a-9a65da2a4866,Read Operations,Tables,MS-AZR-0148P,,,N9H-00805,,,,
0.000000216,/providers/Microsoft.Billing/billingAccounts/8611537,Trey Research Demo (DO NOT USE),Billing Account,USD,2024-07-01T00:00Z,2024-06-01T00:00Z,Usage,,Tables - Read Operations,Usage-Based,2024-06-05T00:00Z,2024-06-04T00:00Z,,,,,,0.00060000,Units,0.0000000000216,0.00036,0.000000216,Microsoft,0.000000216,0.00036,Standard,0.00000006,Units,Microsoft,Microsoft,eastus,East US,/subscriptions/64e355d7-997c-491d-b0c1-8414dccfcf42/resourcegroups/ftk-integration-tests/providers/microsoft.storage/storageaccounts/fc7e7b299aee41298a052aee,fc7e7b299aee41298a052aee,Storage account,Storage,Storage Accounts,1012339,1012339,/subscriptions/64e355d7-997c-491d-b0c1-8414dccfcf42,Trey Research R&D Playground,Subscription,"{""CostCenter"": ""1234"",""CostAllocationTest"": ""Sameer"",""env"": ""prod"",""org"": ""trey"",""Project"": ""Foo""}",196312,ACM Team,acm@testea.onmicrosoft.com,,0.00036,8611537,Trey Research Demo (DO NOT USE),1,2024-06-01T00:00Z,8611537,Trey Research Demo (DO NOT USE),,,ACM9000,,,,0.00036,,,144867,ACM,,,,10000,USD,Standard,10K,Cloud Provider,Microsoft,,,ftk-integration-tests,Microsoft.Storage/storageAccounts,,,Tables - Read Operations,,True,Storage,12da282f-7e96-49e2-983a-9a65da2a4866,Read Operations,Tables,MS-AZR-0148P,,,N9H-00805,,,,
0.000002,/providers/Microsoft.Billing/billingAccounts/8611537,Trey Research Demo (DO NOT USE),Billing Account,USD,2024-07-01T00:00Z,2024-06-01T00:00Z,Usage,,Microsoft Defender for Storage - Standard Transactions,Usage-Based,2024-06-05T00:00Z,2024-06-04T00:00Z,,,,,,0.00010000,Units,0.0000000002,0.02,0.000002,Microsoft,0.000002,0.02,Standard,0.00000001,Units,Microsoft,Microsoft,eastus,East US,/subscriptions/64e355d7-997c-491d-b0c1-8414dccfcf42/resourcegroups/ftk-integration-tests/providers/microsoft.storage/storageaccounts/dd6ae93744ac4a8c81c3440e,dd6ae93744ac4a8c81c3440e,Storage account,Storage,Storage Accounts,611182811,611182811,/subscriptions/64e355d7-997c-491d-b0c1-8414dccfcf42,Trey Research R&D Playground,Subscription,"{""CostCenter"": ""1234"",""CostAllocationTest"": ""Sameer"",""env"": ""prod"",""org"": ""trey"",""Project"": ""Foo""}",196312,ACM Team,acm@testea.onmicrosoft.com,,0.02,8611537,Trey Research Demo (DO NOT USE),1,2024-06-01T00:00Z,8611537,Trey Research Demo (DO NOT USE),,,ACM9000,,,,0.02,,,144867,ACM,,,,10000,USD,Standard,10K,Cloud Provider,Microsoft,,,ftk-integration-tests,Microsoft.Storage/storageAccounts,,,Microsoft Defender for Storage - Standard Transactions,"{""Cloud"":""Azure"",""StorageService"":""Files""}",True,Microsoft Defender for Cloud,8a752c6d-6098-4f15-8828-3716ba46d524,Standard Transactions,Storage,MS-AZR-0148P,,,AAA-97331,,,,
0.0000024,/providers/Microsoft.Billing/billingAccounts/8611537,Trey Research Demo (DO NOT USE),Billing Account,USD,2024-07-01T00:00Z,2024-06-01T00:00Z,Usage,,Queues v2 - LRS - Class 1 Operations - US West,Usage-Based,2024-06-16T00:00Z,2024-06-15T00:00Z,,,,,,0.00060000,Units,0.00000000024,0.004,0.0000024,Microsoft,0.0000024,0.004,Standard,0.00000006,Units,Microsoft,Microsoft,westus,West US,/subscriptions/1caaa5a3-2b66-438e-8ab4-bce37d518c5d/resourcegroups/cloud-shell-storage-westus/providers/microsoft.storage/storageaccounts/cs4100320002e3581eb,cs4100320002e3581eb,Storage account,Storage,Storage Accounts,1048184,1048184,/subscriptions/1caaa5a3-2b66-438e-8ab4-bce37d518c5d,Cost Management Research,Subscription,"{""ms-resource-usage"": ""azure-cloud-shell"",""CostCenter"": ""SubACM""}",196312,ACM Team,acm@testea.onmicrosoft.com,,0.004,8611537,Trey Research Demo (DO NOT USE),1,2024-06-01T00:00Z,8611537,Trey Research Demo (DO NOT USE),,,acm9000,,,,0.004,,,144867,ACM,,,,10000,USD,Standard,10K,Cloud Provider,Microsoft,,,cloud-shell-storage-westus,Microsoft.Storage/storageAccounts,,,Queues v2 - LRS - Class 1 Operations - US West,,True,Storage,e649368c-94c7-4a20-b36c-f9400f078fd1,LRS Class 1 Operations,Queues v2,MS-AZR-0017P,,,AAA-71339,US West,,,
0.000038,/providers/Microsoft.Billing/billingAccounts/8611537,Trey Research Demo (DO NOT USE),Billing Account,USD,2024-07-01T00:00Z,2024-06-01T00:00Z,Usage,,Microsoft Defender for Storage - Standard Transactions,Usage-Based,2024-06-16T00:00Z,2024-06-15T00:00Z,,,,,,0.00190000,Units,0.0000000038,0.02,0.000038,Microsoft,0.000038,0.02,Standard,0.00000019,Units,Microsoft,Microsoft,ukwest,UK West,/subscriptions/64e355d7-997c-491d-b0c1-8414dccfcf42/resourcegroups/adamhourlyexporttest/providers/microsoft.storage/storageaccounts/adamhourlyexporttest964,adamhourlyexporttest964,Storage account,Storage,Storage Accounts,611182811,611182811,/subscriptions/64e355d7-997c-491d-b0c1-8414dccfcf42,Trey Research R&D Playground,Subscription,"{""org"": ""trey"",""CostCenter"": ""1234"","" org"": ""trey"",""env"": ""prod"",""CostAllocationTest"": ""Sameer""}",196312,ACM Team,acm@testea.onmicrosoft.com,,0.02,8611537,Trey Research Demo (DO NOT USE),1,2024-06-01T00:00Z,8611537,Trey Research Demo (DO NOT USE),,SameerRuleWithTag,ACM9000,,,,0.02,,,144867,ACM,,,,10000,USD,Standard,10K,Cloud Provider,Microsoft,,,AdamHourlyExportTest,Microsoft.Storage/storageAccounts,,,Microsoft Defender for Storage - Standard Transactions,"{""Cloud"":""Azure"",""StorageService"":""Blob""}",True,Microsoft Defender for Cloud,8a752c6d-6098-4f15-8828-3716ba46d524,Standard Transactions,Storage,MS-AZR-0148P,,,AAA-97331,,,,
0,/providers/Microsoft.Billing/billingAccounts/8611537,Trey Research Demo (DO NOT USE),Billing Account,USD,2024-07-01T00:00Z,2024-06-01T00:00Z,Usage,,Azure Data Lake Storage Gen2 Hierarchical Namespace - Delete Operations,Usage-Based,2024-06-16T00:00Z,2024-06-15T00:00Z,,,,,,0.00020000,Units,0.00000000,0,0,Microsoft,0.0000,0,Standard,0.00000002,Units,Microsoft,Microsoft,ukwest,UK West,/subscriptions/64e355d7-997c-491d-b0c1-8414dccfcf42/resourcegroups/adamhourlyexporttest/providers/microsoft.storage/storageaccounts/adamhourlyexporttestdiag,adamhourlyexporttestdiag,Storage account,Storage,Storage Accounts,611187921,611187921,/subscriptions/64e355d7-997c-491d-b0c1-8414dccfcf42,Trey Research R&D Playground,Subscription,"{""org"": ""trey"",""Project"": ""Foo"",""CostCenter"": ""1234"","" org"": ""trey"",""env"": ""prod"",""CostAllocationTest"": ""Sameer""}",196312,ACM Team,acm@testea.onmicrosoft.com,,0,8611537,Trey Research Demo (DO NOT USE),1,2024-06-01T00:00Z,8611537,Trey Research Demo (DO NOT USE),,SameerRuleWithTag,ACM9000,,,,0,,,144867,ACM,,,,10000,USD,Standard,10K,Cloud Provider,Microsoft,,,AdamHourlyExportTest,Microsoft.Storage/storageAccounts,,,Azure Data Lake Storage Gen2 Hierarchical Namespace - Delete Operations,,True,Storage,322c85bb-d7b0-410f-84f8-05a53bc699ae,Delete Operations,Azure Data Lake Storage Gen2 Hierarchical Namespace,MS-AZR-0148P,,,AAD-37581,,,,
0.0000532224,/providers/Microsoft.Billing/billingAccounts/8611537,Trey Research Demo (DO NOT USE),Billing Account,USD,2024-07-01T00:00Z,2024-06-01T00:00Z,Usage,,General Block Blob - LRS Data Stored,Usage-Based,2024-06-16T00:00Z,2024-06-15T00:00Z,,,,,,0.002376,GB/Month,0.0000532224,0.0224,0.0000532224,Microsoft,0.0000532224,0.0224,Standard,0.002376,GB/Month,Microsoft,Microsoft,southeastasia,Southeast Asia,/subscriptions/64e355d7-997c-491d-b0c1-8414dccfcf42/resourcegroups/synthlab/providers/microsoft.storage/storageaccounts/synthlabdiag578,synthlabdiag578,Storage account,Storage,Storage Accounts,1011163,1011163,/subscriptions/64e355d7-997c-491d-b0c1-8414dccfcf42,Trey Research R&D Playground,Subscription,"{""org"": ""trey"","" org"": ""trey"",""env"": ""Dev"",""CostAllocationTest"": ""Sameer""}",196312,ACM Team,acm@testea.onmicrosoft.com,,0.0224,8611537,Trey Research Demo (DO NOT USE),1,2024-06-01T00:00Z,8611537,Trey Research Demo (DO NOT USE),,SameerRuleWithTag,ACM9000,,,,0.0224,,,144867,ACM,,,,1,USD,Standard,1 GB/Month,Cloud Provider,Microsoft,,,SynthLab,Microsoft.Storage/storageAccounts,,,General Block Blob - LRS Data Stored,,True,Storage,c1635534-1c1d-4fc4-b090-88fc2672ef87,LRS Data Stored,General Block Blob,MS-AZR-0148P,,,N9H-00074,,,,
0.000000216,/providers/Microsoft.Billing/billingAccounts/8611537,Trey Research Demo (DO NOT USE),Billing Account,USD,2024-07-01T00:00Z,2024-06-01T00:00Z,Usage,,Queues - LRS - Class 1 Operations,Usage-Based,2024-06-07T00:00Z,2024-06-06T00:00Z,,,,,,0.00060000,Units,0.0000000000216,0.00036,0.000000216,Microsoft,0.000000216,0.00036,Standard,0.00000006,Units,Microsoft,Microsoft,koreacentral,Korea Central,/subscriptions/ed570627-0265-4620-bb42-bae06bcfa914/resourcegroups/microlab/providers/microsoft.storage/storageaccounts/microlabdiag629,microlabdiag629,Storage account,Storage,Storage Accounts,1047980,1047980,/subscriptions/ed570627-0265-4620-bb42-bae06bcfa914,Trey Research IT,Subscription,"{""env"": ""prod"",""org"": ""trey""}",196312,ACM Team,acm@testea.onmicrosoft.com,,0.00036,8611537,Trey Research Demo (DO NOT USE),1,2024-06-01T00:00Z,8611537,Trey Research Demo (DO NOT USE),,,ACM9000,,,,0.00036,,,144867,ACM,,,,10000,USD,Standard,10K,Cloud Provider,Microsoft,,,MicroLab,Microsoft.Storage/storageAccounts,,,Queues - LRS - Class 1 Operations,,True,Storage,b90587a9-b1d5-4bd7-9d0b-e5d4a255a384,LRS Class 1 Operations,Queues,MS-AZR-0017P,,,AAA-70078,,,,
0.000004,/providers/Microsoft.Billing/billingAccounts/8611537,Trey Research Demo (DO NOT USE),Billing Account,USD,2024-07-01T00:00Z,2024-06-01T00:00Z,Usage,,Tiered Block Blob - All Other Operations - US East,Usage-Based,2024-06-07T00:00Z,2024-06-06T00:00Z,,,,,,0.0010000,Units,0.0000000004,0.004,0.000004,Microsoft,0.000004,0.004,Standard,0.0000001,Units,Microsoft,Microsoft,eastus,East US,/subscriptions/64e355d7-997c-491d-b0c1-8414dccfcf42/resourcegroups/ftk-integration-tests/providers/microsoft.storage/storageaccounts/8bf413edd3104ec390098815,8bf413edd3104ec390098815,Storage account,Storage,Storage Accounts,1047247,1047247,/subscriptions/64e355d7-997c-491d-b0c1-8414dccfcf42,Trey Research R&D Playground,Subscription,"{""org"": ""trey"",""Project"": ""Foo"",""CostCenter"": ""1234"","" org"": ""trey"",""env"": ""prod"",""CostAllocationTest"": ""Sameer""}",196312,ACM Team,acm@testea.onmicrosoft.com,,0.004,8611537,Trey Research Demo (DO NOT USE),1,2024-06-01T00:00Z,8611537,Trey Research Demo (DO NOT USE),,SameerRuleWithTag,ACM9000,,,,0.004,,,144867,ACM,,,,10000,USD,Standard,10K,Cloud Provider,Microsoft,,,ftk-integration-tests,Microsoft.Storage/storageAccounts,,,Tiered Block Blob - All Other Operations - US East,,True,Storage,0b248445-aa24-4fe8-a794-a174929327bd,All Other Operations,Tiered Block Blob,MS-AZR-0148P,,,AAA-70098,US East,,,
0.005,/providers/Microsoft.Billing/billingAccounts/8611537,Trey Research Demo (DO NOT USE),Billing Account,USD,2024-07-01T00:00Z,2024-06-01T00:00Z,Usage,,IP Addresses - Standard IPv4 Static Public IP - Dev/Test,Usage-Based,2024-06-07T00:00Z,2024-06-06T00:00Z,,,,,,1,Hours,0.005,0.005,0.005,Microsoft,0.005,0.005,Standard,1,Hours,Microsoft,Microsoft,eastus2,East US 2,/subscriptions/64e355d7-997c-491d-b0c1-8414dccfcf42/resourcegroups/devtestlab/providers/microsoft.machinelearningservices/workspaces/zmltestplayground,zmltestplayground,Azure Machine Learning workspace,AI and Machine Learning,Azure Machine Learning,616208794,616208794,/subscriptions/64e355d7-997c-491d-b0c1-8414dccfcf42,Trey Research R&D Playground,Subscription,"{""ComputeType"": ""Compute Instance"","" org"": ""trey"",""CostAllocationTest"": ""Sameer""}",196312,ACM Team,acm@testea.onmicrosoft.com,,0.005,8611537,Trey Research Demo (DO NOT USE),1,2024-06-01T00:00Z,8611537,Trey Research Demo (DO NOT USE),,SameerRuleWithTag,ACM9000,,,,0.005,,,144867,ACM,,,,1,USD,Standard,1 Hour,Cloud Provider,Microsoft,,,devtestlab,Microsoft.MachineLearningServices/workspaces,,,IP Addresses - Standard IPv4 Static Public IP - Dev/Test,"{""AccountName"":""bai52238044515004711258a"",""PoolName"":""sentinel_0c4216ff-a799-4681-96e4-1a64ad037202"",""ConfigType"":""VirtualMachine"",""NodeType"":""Dedicated"",""PoolAllocationMode"":""BatchService"",""UsageType"":""publicipaddresses"",""ClusterType"":""DSI"",""AmlWorkspaceId"":""32ef54ad-3016-47b1-bc5c-d1f26560cc18"",""AMLResourceType"":""Provisioner.Batch"",""SourceEventId"":""cec7e38d-0247-7f9d-9797-1345967fb5e3"",""SourceResourceProvider"":""Batch"",""HostSubscriptionId"":""2b56c433-734a-4e64-8dce-4d9f93075804"",""EmittingService"":""Machine Learning Service - Non DSVM"",""Processor_Version"":""BillingProcessorV2""}",True,Virtual Network,9c150bf9-2bad-430e-a53c-c213804f49ef,Standard IPv4 Static Public IP,IP Addresses,MS-AZR-0148P,,,AAD-84351,,,,
